date,title,description,source,url,category,source_type,insights
2025-05-13,"The Download: CRISPR in court, and the police’s ban-skirting AI","This is today&#8217;s edition of The Download, our weekday newsletter that provides a daily dose of what&#8217;s going on in the world of technology. A US court just put ownership of CRISPR back in play The CRISPR patents are back in play. Yesterday, the US Court of Appeals for the Federal Circuit said scientists Jennifer Doudna and&#8230;",technologyreview.com,https://www.technologyreview.com/2025/05/13/1116357/the-download-crispr-in-court-and-the-polices-ban-skirting-ai/,ai ,News Source,
2025-05-13,Police tech can sidestep facial recognition bans now,"Six months ago I attended the largest gathering of chiefs of police in the US to see how they’re using AI. I found some big developments, like officers getting AI to write their police reports. Today, I published a new story that shows just how far AI for police has developed since then.&#160; It’s about&#8230;",technologyreview.com,https://www.technologyreview.com/2025/05/13/1116321/police-tech-can-sidestep-facial-recognition-bans-now/,ai ,News Source,
2025-05-12,"The Download: a new form of AI surveillance, and the US and China’s tariff deal","This is today&#8217;s edition of The Download, our weekday newsletter that provides a daily dose of what&#8217;s going on in the world of technology. How a new type of AI is helping police skirt facial recognition bans Police and federal agencies have found a controversial new way to skirt the growing patchwork of laws that curb how&#8230;",technologyreview.com,https://www.technologyreview.com/2025/05/12/1116307/the-download-a-new-form-of-ai-surveillance-and-the-us-and-chinas-tariff-deal/,ai ,News Source,
2025-05-12,How a new type of AI is helping police skirt facial recognition bans,"Police and federal agencies have found a controversial new way to skirt the growing patchwork of laws that curb how they use facial recognition: an AI model that can track people using attributes like body size, gender, hair color and style, clothing, and accessories.&#160; The tool, called Track and built by the video analytics company&#8230;",technologyreview.com,https://www.technologyreview.com/2025/05/12/1116295/how-a-new-type-of-ai-is-helping-police-skirt-facial-recognition-bans/,ai ,News Source,
2025-05-09,"The Download: AI headphone translation, and the link between microbes and our behavior","This is today&#8217;s edition of The Download, our weekday newsletter that provides a daily dose of what&#8217;s going on in the world of technology. A new AI translation system for headphones clones multiple voices simultaneously What’s new: Imagine going for dinner with a group of friends who switch in and out of different languages you don’t speak,&#8230;",technologyreview.com,https://www.technologyreview.com/2025/05/09/1116247/the-download-ai-headphone-translation-and-the-link-between-microbes-and-our-behavior/,ai ,News Source,
2025-05-14,Nvidia&#8217;s flattery of Trump wins reversal of AI chip limits and a Huawei clampdown,"Nvidia’s efforts to suck up to the Trump administration have seemingly paid off, with the US now lifting export limits on US-made AI chips and cracking down on anyone using Huawei’s emerging alternatives. The announcements come as Nvidia CEO Jensen Huang joined President Trump in Saudi Arabia this week to solicit AI investments for US [&#8230;]",theverge.com,https://www.theverge.com/news/666605/nvidias-flattery-of-trump-wins-reversal-of-ai-chip-limits-and-a-huawei-clampdown,ai ,News Source,
2025-05-13,Judge slams lawyers for &#8216;bogus AI-generated research&#8217;,"A California judge slammed a pair of law firms for the undisclosed use of AI after he received a supplemental brief with “numerous false, inaccurate, and misleading legal citations and quotations.” In a ruling submitted last week, Judge Michael Wilner imposed $31,000 in sanctions against the law firms involved, saying “no reasonably competent attorney should [&#8230;]",theverge.com,https://www.theverge.com/news/666443/judge-slams-lawyers-ai-bogus-research,ai ,News Source,
2025-05-13,Paul McCartney and Dua Lipa call on the UK to pass AI copyright transparency law,"Last week, Paul McCartney, Dua Lipa, Ian McKellen, Elton John, and hundreds of others in the UK creative industry signed an open letter backing an effort to force AI firms to reveal the copyrighted works used to train their models.&#160; They support an amendment to the UK’s Data (Use and Access) Bill proposed by letter [&#8230;]",theverge.com,https://www.theverge.com/news/666379/paul-mccartney-dua-lipa-uk-ai-copyright-amendment-letter,ai ,News Source,
2025-05-13,Republicans push for a decadelong ban on states regulating AI,"Republicans want to stop states from regulating AI. On Sunday, a Republican-led House committee submitted a budget reconciliation bill that proposes blocking states from enforcing “any law or regulation” targeting an exceptionally broad range of automated computing systems for 10 years after the law is enacted — a move that would stall efforts to regulate [&#8230;]",theverge.com,https://www.theverge.com/news/666288/republican-ai-state-regulation-ban-10-years,ai ,News Source,
2025-05-13,TikTok will let you use an AI prompt to turn a photo into a video,"TikTok has a new AI-powered tool called “AI Alive” that will let you turn photos into video with a prompt to describe what you want the video to look like. It’s a little different from other&#160; You can access the tool from TikTok’s Story Camera, and it uses “intelligent editing tools that give anyone, regardless [&#8230;]",theverge.com,https://www.theverge.com/news/666268/tiktok-ai-alive-prompt-photo-image-video,ai ,News Source,
